time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
20,4.43992e+07,4.43992e+07,4.43992e+07,169699,169699,169699,221497,221497,221497,2.75505e+07,2.75505e+07,2.75505e+07,3.68747e+07,3.68747e+07,3.68747e+07,66188.6,66188.6,66188.6,64576.7,64576.7,64576.7,3.46191e+06,3.46191e+06,3.46191e+06,2.64732e+06,2.64732e+06,2.64732e+06,914711,914711,914711,899848,899848,899848,9.6036e+06,9.6036e+06,9.6036e+06,200.614,200.614,200.614,175.998,175.998,175.998
21,4.44341e+07,4.44341e+07,4.44341e+07,169595,169595,169595,221284,221284,221284,2.75563e+07,2.75563e+07,2.75563e+07,3.68683e+07,3.68683e+07,3.68683e+07,66087.6,66087.6,66087.6,64479.9,64479.9,64479.9,3.44234e+06,3.44234e+06,3.44234e+06,2.63658e+06,2.63658e+06,2.63658e+06,910885,910885,910885,894797,894797,894797,9.61773e+06,9.61773e+06,9.61773e+06,200.309,200.309,200.309,175.659,175.659,175.659
22,4.44684e+07,4.44684e+07,4.44684e+07,169693,169693,169693,221419,221419,221419,2.75605e+07,2.75605e+07,2.75605e+07,3.68592e+07,3.68592e+07,3.68592e+07,66060.2,66060.2,66060.2,64480.5,64480.5,64480.5,3.42584e+06,3.42584e+06,3.42584e+06,2.62756e+06,2.62756e+06,2.62756e+06,907588,907588,907588,890533,890533,890533,9.62996e+06,9.62996e+06,9.62996e+06,200.255,200.255,200.255,175.608,175.608,175.608
23,4.45009e+07,4.45009e+07,4.45009e+07,169961,169961,169961,221854,221854,221854,2.75631e+07,2.75631e+07,2.75631e+07,3.68476e+07,3.68476e+07,3.68476e+07,66096.2,66096.2,66096.2,64566.7,64566.7,64566.7,3.41269e+06,3.41269e+06,3.41269e+06,2.62043e+06,2.62043e+06,2.62043e+06,904892,904892,904892,887135,887135,887135,9.6406e+06,9.6406e+06,9.6406e+06,200.418,200.418,200.418,175.813,175.813,175.813
24,4.45305e+07,4.45305e+07,4.45305e+07,170360,170360,170360,222533,222533,222533,2.75644e+07,2.75644e+07,2.75644e+07,3.68342e+07,3.68342e+07,3.68342e+07,66182.9,66182.9,66182.9,64724.1,64724.1,64724.1,3.40302e+06,3.40302e+06,3.40302e+06,2.61525e+06,2.61525e+06,2.61525e+06,902825,902825,902825,884637,884637,884637,9.64997e+06,9.64997e+06,9.64997e+06,200.757,200.757,200.757,176.234,176.234,176.234
25,4.45564e+07,4.45564e+07,4.45564e+07,170848,170848,170848,223396,223396,223396,2.75646e+07,2.75646e+07,2.75646e+07,3.68193e+07,3.68193e+07,3.68193e+07,66306.4,66306.4,66306.4,64936.9,64936.9,64936.9,3.39678e+06,3.39678e+06,3.39678e+06,2.61198e+06,2.61198e+06,2.61198e+06,901381,901381,901381,883031,883031,883031,9.65837e+06,9.65837e+06,9.65837e+06,201.227,201.227,201.227,176.826,176.826,176.826
26,4.4578e+07,4.4578e+07,4.4578e+07,171383,171383,171383,224381,224381,224381,2.75637e+07,2.75637e+07,2.75637e+07,3.68037e+07,3.68037e+07,3.68037e+07,66451.9,66451.9,66451.9,65188.3,65188.3,65188.3,3.39379e+06,3.39379e+06,3.39379e+06,2.61047e+06,2.61047e+06,2.61047e+06,900519,900519,900519,882271,882271,882271,9.66611e+06,9.66611e+06,9.66611e+06,201.78,201.78,201.78,177.54,177.54,177.54
27,4.45952e+07,4.45952e+07,4.45952e+07,171924,171924,171924,225427,225427,225427,2.75622e+07,2.75622e+07,2.75622e+07,3.67878e+07,3.67878e+07,3.67878e+07,66604.8,66604.8,66604.8,65461.7,65461.7,65461.7,3.39376e+06,3.39376e+06,3.39376e+06,2.6105e+06,2.6105e+06,2.6105e+06,900170,900170,900170,882278,882278,882278,9.67343e+06,9.67343e+06,9.67343e+06,202.368,202.368,202.368,178.329,178.329,178.329
28,4.46079e+07,4.46079e+07,4.46079e+07,172431,172431,172431,226477,226477,226477,2.75602e+07,2.75602e+07,2.75602e+07,3.67721e+07,3.67721e+07,3.67721e+07,66751.3,66751.3,66751.3,65741,65741,65741,3.39628e+06,3.39628e+06,3.39628e+06,2.6118e+06,2.6118e+06,2.6118e+06,900244,900244,900244,882949,882949,882949,9.68056e+06,9.68056e+06,9.68056e+06,202.944,202.944,202.944,179.147,179.147,179.147
29,4.46165e+07,4.46165e+07,4.46165e+07,172872,172872,172872,227479,227479,227479,2.75579e+07,2.75579e+07,2.75579e+07,3.6757e+07,3.6757e+07,3.6757e+07,66878.8,66878.8,66878.8,66011.5,66011.5,66011.5,3.40088e+06,3.40088e+06,3.40088e+06,2.61404e+06,2.61404e+06,2.61404e+06,900634,900634,900634,884162,884162,884162,9.68767e+06,9.68767e+06,9.68767e+06,203.466,203.466,203.466,179.949,179.949,179.949
30,4.46214e+07,4.46214e+07,4.46214e+07,173218,173218,173218,228388,228388,228388,2.75556e+07,2.75556e+07,2.75556e+07,3.6743e+07,3.6743e+07,3.6743e+07,66977,66977,66977,66260.4,66260.4,66260.4,3.40706e+06,3.40706e+06,3.40706e+06,2.61687e+06,2.61687e+06,2.61687e+06,901227,901227,901227,885784,885784,885784,9.6949e+06,9.6949e+06,9.6949e+06,203.898,203.898,203.898,180.698,180.698,180.698
