time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
20,3.02975e+06,3.02975e+06,3.02975e+06,3753.09,3753.09,3753.09,3557.28,3557.28,3557.28,3.91793e+06,3.91793e+06,3.91793e+06,3.58384e+06,3.58384e+06,3.58384e+06,5768.59,5768.59,5768.59,5763.32,5763.32,5763.32,425115,425115,425115,468426,468426,468426,5.40333e+06,5.40333e+06,5.40333e+06,5.16808e+06,5.16808e+06,5.16808e+06,1.04858e+08,1.04858e+08,1.04858e+08,10.4309,10.4309,10.4309,7.99642,7.99642,7.99642
21,3.02963e+06,3.02963e+06,3.02963e+06,3751.13,3751.13,3751.13,3554.32,3554.32,3554.32,3.91683e+06,3.91683e+06,3.91683e+06,3.58283e+06,3.58283e+06,3.58283e+06,5764.36,5764.36,5764.36,5757.29,5757.29,5757.29,426476,426476,426476,470004,470004,470004,5.42006e+06,5.42006e+06,5.42006e+06,5.18316e+06,5.18316e+06,5.18316e+06,1.04835e+08,1.04835e+08,1.04835e+08,10.4264,10.4264,10.4264,7.99039,7.99039,7.99039
22,3.02952e+06,3.02952e+06,3.02952e+06,3747.67,3747.67,3747.67,3550,3550,3550,3.91585e+06,3.91585e+06,3.91585e+06,3.58192e+06,3.58192e+06,3.58192e+06,5757.92,5757.92,5757.92,5749.17,5749.17,5749.17,427739,427739,427739,471477,471477,471477,5.43561e+06,5.43561e+06,5.43561e+06,5.19708e+06,5.19708e+06,5.19708e+06,1.04813e+08,1.04813e+08,1.04813e+08,10.4175,10.4175,10.4175,7.98116,7.98116,7.98116
23,3.02944e+06,3.02944e+06,3.02944e+06,3742.92,3742.92,3742.92,3544.54,3544.54,3544.54,3.91498e+06,3.91498e+06,3.91498e+06,3.58112e+06,3.58112e+06,3.58112e+06,5749.6,5749.6,5749.6,5739.31,5739.31,5739.31,428899,428899,428899,472840,472840,472840,5.44995e+06,5.44995e+06,5.44995e+06,5.20982e+06,5.20982e+06,5.20982e+06,1.04794e+08,1.04794e+08,1.04794e+08,10.4049,10.4049,10.4049,7.96922,7.96922,7.96922
24,3.02939e+06,3.02939e+06,3.02939e+06,3737.08,3737.08,3737.08,3538.13,3538.13,3538.13,3.91422e+06,3.91422e+06,3.91422e+06,3.58041e+06,3.58041e+06,3.58041e+06,5739.7,5739.7,5739.7,5728,5728,5728,429957,429957,429957,474092,474092,474092,5.46305e+06,5.46305e+06,5.46305e+06,5.22136e+06,5.22136e+06,5.22136e+06,1.04777e+08,1.04777e+08,1.04777e+08,10.3891,10.3891,10.3891,7.95501,7.95501,7.95501
25,3.02939e+06,3.02939e+06,3.02939e+06,3730.34,3730.34,3730.34,3530.95,3530.95,3530.95,3.91358e+06,3.91358e+06,3.91358e+06,3.57981e+06,3.57981e+06,3.57981e+06,5728.5,5728.5,5728.5,5715.54,5715.54,5715.54,430912,430912,430912,475232,475232,475232,5.47491e+06,5.47491e+06,5.47491e+06,5.2317e+06,5.2317e+06,5.2317e+06,1.04763e+08,1.04763e+08,1.04763e+08,10.3706,10.3706,10.3706,7.93896,7.93896,7.93896
26,3.02942e+06,3.02942e+06,3.02942e+06,3722.88,3722.88,3722.88,3523.18,3523.18,3523.18,3.91305e+06,3.91305e+06,3.91305e+06,3.57931e+06,3.57931e+06,3.57931e+06,5716.24,5716.24,5716.24,5702.18,5702.18,5702.18,431766,431766,431766,476260,476260,476260,5.48554e+06,5.48554e+06,5.48554e+06,5.24086e+06,5.24086e+06,5.24086e+06,1.04751e+08,1.04751e+08,1.04751e+08,10.3499,10.3499,10.3499,7.92145,7.92145,7.92145
27,3.0295e+06,3.0295e+06,3.0295e+06,3714.83,3714.83,3714.83,3514.94,3514.94,3514.94,3.91263e+06,3.91263e+06,3.91263e+06,3.5789e+06,3.5789e+06,3.5789e+06,5703.16,5703.16,5703.16,5688.14,5688.14,5688.14,432520,432520,432520,477179,477179,477179,5.49495e+06,5.49495e+06,5.49495e+06,5.24886e+06,5.24886e+06,5.24886e+06,1.04742e+08,1.04742e+08,1.04742e+08,10.3275,10.3275,10.3275,7.90281,7.90281,7.90281
28,3.02963e+06,3.02963e+06,3.02963e+06,3706.34,3706.34,3706.34,3506.37,3506.37,3506.37,3.91232e+06,3.91232e+06,3.91232e+06,3.57859e+06,3.57859e+06,3.57859e+06,5689.44,5689.44,5689.44,5673.61,5673.61,5673.61,433178,433178,433178,477991,477991,477991,5.50318e+06,5.50318e+06,5.50318e+06,5.25573e+06,5.25573e+06,5.25573e+06,1.04734e+08,1.04734e+08,1.04734e+08,10.3038,10.3038,10.3038,7.88333,7.88333,7.88333
29,3.02981e+06,3.02981e+06,3.02981e+06,3697.52,3697.52,3697.52,3497.58,3497.58,3497.58,3.91212e+06,3.91212e+06,3.91212e+06,3.57837e+06,3.57837e+06,3.57837e+06,5675.25,5675.25,5675.25,5658.77,5658.77,5658.77,433742,433742,433742,478699,478699,478699,5.51025e+06,5.51025e+06,5.51025e+06,5.26152e+06,5.26152e+06,5.26152e+06,1.04729e+08,1.04729e+08,1.04729e+08,10.279,10.279,10.279,7.86327,7.86327,7.86327
