time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
34,7.35214e+06,7.35214e+06,7.35214e+06,99.0583,99.0583,99.0583,5982.37,5982.37,5982.37,1.63772e+07,1.63772e+07,1.63772e+07,1.62471e+07,1.62471e+07,1.62471e+07,62.6756,62.6756,62.6756,3817.09,3817.09,3817.09,444016,444016,444016,60575.9,60575.9,60575.9,38293.9,38293.9,38293.9,306595,306595,306595,8.61595e+07,8.61595e+07,8.61595e+07,0.105137,0.105137,0.105137,12.7413,12.7413,12.7413
35,7.35711e+06,7.35711e+06,7.35711e+06,109.808,109.808,109.808,6524.25,6524.25,6524.25,1.63657e+07,1.63657e+07,1.63657e+07,1.62554e+07,1.62554e+07,1.62554e+07,69.4606,69.4606,69.4606,4156.89,4156.89,4156.89,449188,449188,449188,59384.1,59384.1,59384.1,37540.6,37540.6,37540.6,309328,309328,309328,8.61595e+07,8.61595e+07,8.61595e+07,0.116489,0.116489,0.116489,13.8857,13.8857,13.8857
36,7.36055e+06,7.36055e+06,7.36055e+06,121.787,121.787,121.787,7114.32,7114.32,7114.32,1.63532e+07,1.63532e+07,1.63532e+07,1.62638e+07,1.62638e+07,1.62638e+07,77.0352,77.0352,77.0352,4527.03,4527.03,4527.03,455672,455672,455672,58249.7,58249.7,58249.7,36823.6,36823.6,36823.6,312895,312895,312895,8.61596e+07,8.61596e+07,8.61596e+07,0.12916,0.12916,0.12916,15.1351,15.1351,15.1351
37,7.36232e+06,7.36232e+06,7.36232e+06,135.096,135.096,135.096,7753.23,7753.23,7753.23,1.63397e+07,1.63397e+07,1.63397e+07,1.62723e+07,1.62723e+07,1.62723e+07,85.4702,85.4702,85.4702,4928.02,4928.02,4928.02,463558,463558,463558,57174.6,57174.6,57174.6,36144.1,36144.1,36144.1,317355,317355,317355,8.61597e+07,8.61597e+07,8.61597e+07,0.143271,0.143271,0.143271,16.492,16.492,16.492
38,7.3623e+06,7.3623e+06,7.3623e+06,149.832,149.832,149.832,8440.48,8440.48,8440.48,1.6325e+07,1.6325e+07,1.6325e+07,1.6281e+07,1.6281e+07,1.6281e+07,94.8349,94.8349,94.8349,5359.69,5359.69,5359.69,472935,472935,472935,56161,56161,56161,35503.5,35503.5,35503.5,322763,322763,322763,8.61599e+07,8.61599e+07,8.61599e+07,0.158937,0.158937,0.158937,17.9567,17.9567,17.9567
39,7.36037e+06,7.36037e+06,7.36037e+06,166.08,166.08,166.08,9174.04,9174.04,9174.04,1.63092e+07,1.63092e+07,1.63092e+07,1.629e+07,1.629e+07,1.629e+07,105.193,105.193,105.193,5820.98,5820.98,5820.98,483890,483890,483890,55210.9,55210.9,55210.9,34903.3,34903.3,34903.3,329173,329173,329173,8.61602e+07,8.61602e+07,8.61602e+07,0.176268,0.176268,0.176268,19.527,19.527,19.527
40,7.3564e+06,7.3564e+06,7.3564e+06,183.909,183.909,183.909,9950.09,9950.09,9950.09,1.62921e+07,1.62921e+07,1.62921e+07,1.62992e+07,1.62992e+07,1.62992e+07,116.602,116.602,116.602,6309.69,6309.69,6309.69,496496,496496,496496,54327,54327,54327,34345.2,34345.2,34345.2,336635,336635,336635,8.61606e+07,8.61606e+07,8.61606e+07,0.195356,0.195356,0.195356,21.1965,21.1965,21.1965
41,7.35031e+06,7.35031e+06,7.35031e+06,203.363,203.363,203.363,10762.6,10762.6,10762.6,1.62737e+07,1.62737e+07,1.62737e+07,1.63086e+07,1.63086e+07,1.63086e+07,129.103,129.103,129.103,6822.32,6822.32,6822.32,510815,510815,510815,53511.5,53511.5,53511.5,33830.7,33830.7,33830.7,345187,345187,345187,8.61612e+07,8.61612e+07,8.61612e+07,0.216276,0.216276,0.216276,22.9548,22.9548,22.9548
42,7.34201e+06,7.34201e+06,7.34201e+06,224.455,224.455,224.455,11603.1,11603.1,11603.1,1.62539e+07,1.62539e+07,1.62539e+07,1.63185e+07,1.63185e+07,1.63185e+07,142.723,142.723,142.723,7353.89,7353.89,7353.89,526887,526887,526887,52767,52767,52767,33361.8,33361.8,33361.8,354859,354859,354859,8.61619e+07,8.61619e+07,8.61619e+07,0.239071,0.239071,0.239071,24.7865,24.7865,24.7865
43,7.33145e+06,7.33145e+06,7.33145e+06,247.158,247.158,247.158,12460.7,12460.7,12460.7,1.62327e+07,1.62327e+07,1.62327e+07,1.63286e+07,1.63286e+07,1.63286e+07,157.463,157.463,157.463,7897.75,7897.75,7897.75,544729,544729,544729,52096,52096,52096,32940.1,32940.1,32940.1,365664,365664,365664,8.61629e+07,8.61629e+07,8.61629e+07,0.263746,0.263746,0.263746,26.6703,26.6703,26.6703
